,datadate,sentiment
636,20100713,-0.027450000000000002
637,20100714,0
638,20100715,0.0010999999999999899
639,20100716,0.20698
640,20100719,0.5106
641,20100720,0.6369
642,20100721,0.33779333333333333
643,20100722,0.0
644,20100723,0.5349
645,20100726,0.10727999999999997
646,20100727,0.15011999999999998
647,20100728,0.0
648,20100729,0.2414170731707317
649,20100730,0.6124
650,20100802,0.19137222222222222
651,20100803,-0.18837500000000004
652,20100804,0.0
653,20100805,0.07488
654,20100806,0.0
655,20100809,0.0
656,20100810,0.4013
657,20100811,0.17823333333333333
658,20100812,-0.0516
659,20100813,0.07154999999999999
660,20100816,-0.2735173913043478
661,20100817,0.0
662,20100818,0.3612
663,20100819,-0.02009999999999999
664,20100820,0.30960000000000004
665,20100823,0.06735
666,20100824,-0.03423333333333333
667,20100825,0.5574
668,20100826,-0.03356666666666667
669,20100827,-0.017457142857142855
670,20100830,0.14886666666666667
671,20100831,0.5684
672,20100901,0.23013333333333333
673,20100902,0.5574
674,20100903,0.69735
675,20100907,0.2589
676,20100908,0.0
677,20100909,0.0
678,20100910,-0.1573142857142857
679,20100913,0.0
680,20100914,-0.08038
681,20100915,-0.2336666666666667
682,20100916,0.0
683,20100917,0.10115
684,20100920,0.0
685,20100921,0.1909
686,20100922,0.0
687,20100923,0.5334
688,20100924,0.2760166666666667
689,20100927,0.21706666666666666
690,20100928,0.0
691,20100929,0.34
692,20100930,0.413775
693,20101001,0.0
694,20101004,0.017600000000000005
695,20101005,0.40190000000000003
696,20101006,0.42819999999999997
697,20101007,0.0353
698,20101008,-0.112175
699,20101011,0.33695
700,20101012,0
701,20101013,0.1921
702,20101014,0.0
703,20101015,0.13096249999999998
704,20101018,0.2001666666666667
705,20101019,0.02111666666666666
706,20101020,0.064
707,20101021,0.07224
708,20101022,0.19964
709,20101025,0.7959
710,20101026,-0.7289
711,20101027,0.0
712,20101028,0.59365
713,20101029,-0.0713818181818182
714,20101101,0.49615
715,20101102,0.5577323529411764
716,20101103,0.6249
717,20101104,0.0
718,20101105,-0.020899999999999974
719,20101108,0.264
720,20101109,0.10442222222222222
721,20101110,0.0
722,20101111,-0.17744285714285715
723,20101112,0.09
724,20101115,0.40022380952380954
725,20101116,0.0
726,20101117,-0.05056666666666667
727,20101118,0.0
728,20101119,0.18228333333333332
729,20101122,-0.1858
730,20101123,-0.05794999999999999
731,20101124,0.18352
732,20101126,-0.015899999999999997
733,20101129,0.0
734,20101130,0.05135
735,20101201,-0.30696666666666667
736,20101202,0.04646363636363637
737,20101203,0.4404
738,20101206,0.20095
739,20101207,0.159
740,20101208,0.230125
741,20101209,0.0
742,20101210,0.0
743,20101213,0.22772
744,20101214,-0.09843636363636364
745,20101215,-0.1909
746,20101216,0.0258
747,20101217,0.08863333333333334
748,20101220,0.0
749,20101221,0.5707
750,20101222,0.0
751,20101223,-0.04228571428571428
752,20101227,0.2023
753,20101228,0.09175250000000001
754,20101229,0.427425
755,20101230,0.3395
756,20101231,0.47670000000000007
757,20110103,0.4870999999999999
758,20110104,0.5417048780487805
759,20110105,-0.059199999999999996
760,20110106,0.31210000000000004
761,20110107,0.0
762,20110110,-0.2342
763,20110111,0.058066666666666655
764,20110112,0.1027
765,20110113,0.4215
766,20110114,0.32443125
767,20110118,0.022133333333333335
768,20110119,0.3817999999999999
769,20110120,-0.062069767441860456
770,20110121,0.13804117647058825
771,20110124,0.05113846153846154
772,20110125,0.0
773,20110126,0.1292625
774,20110127,0.0
775,20110128,0.0
776,20110131,-0.2263
777,20110201,0.14503
778,20110202,0.510240625
779,20110203,-0.074
780,20110204,-0.20218695652173915
781,20110207,0.11769375
782,20110208,0.05417692307692308
783,20110209,0.47868867924528297
784,20110210,0.22325868263473053
785,20110211,0.2023
786,20110214,0.4019
787,20110215,-0.14085272727272727
788,20110216,-0.041666666666666664
789,20110217,0.0051575757575757575
790,20110218,0.23289722222222226
791,20110222,0.0
792,20110223,0.07865454545454546
793,20110224,-0.019215384615384617
794,20110225,0.07009523809523809
795,20110228,0.5994
796,20110301,0.0
797,20110302,0.585261111111111
798,20110303,0.00843076923076923
799,20110304,-0.008474137931034482
800,20110307,0.25727857142857147
801,20110308,0.0
802,20110309,0.0
803,20110310,0.0
804,20110311,0.19964666666666667
805,20110314,0.0
806,20110315,0.0633448275862069
807,20110316,0.4927000000000001
808,20110317,-0.1928666666666667
809,20110318,0.0
810,20110321,0.0462528
811,20110322,0.37531517509727624
812,20110323,0.2263
813,20110324,0.0
814,20110325,0.20973018867924528
815,20110328,0.05935555555555556
816,20110329,0.2023
817,20110330,0.47670000000000007
818,20110331,0.0
819,20110401,0.0
820,20110404,0.10024285714285715
821,20110405,0.068
822,20110406,0.2816125
823,20110407,0.0
824,20110408,0.5563
825,20110411,0.3612
826,20110412,-0.2997
827,20110413,0.2240833333333333
828,20110414,0.0
829,20110415,0.4404
830,20110418,0.4215
831,20110419,0.38376666666666664
832,20110420,0.11717999999999999
833,20110421,0.060096226415094336
834,20110425,0.2787
835,20110426,0.07004558823529412
836,20110427,0.2023
837,20110428,0.37542903225806457
838,20110429,0.2803861111111111
839,20110502,-0.05855
840,20110503,0.03969999999999999
841,20110504,0.15369999999999998
842,20110505,0.0
843,20110506,-0.039725
844,20110509,0.5089995290423862
845,20110510,0.2795842592592593
846,20110511,0.34
847,20110512,0.20230000000000004
848,20110513,0.10756842105263158
849,20110516,0.1424222222222222
850,20110517,0.039599999999999996
851,20110518,0.7713
852,20110519,-0.2787
853,20110520,0.027685714285714286
854,20110523,0.1258
855,20110524,0.7744546875
856,20110525,0.4485333333333334
857,20110526,0.0
858,20110527,-0.3697695652173913
859,20110531,0.1387
860,20110601,0.0
861,20110602,0.2016583333333333
862,20110603,0.012397058823529412
